satellite_id,mission_name,launch_date,orbit_type,payload_weight,altitude_km,mission_status,power_watts
SAT-001,Chandrayaan-3,2023-07-14,Lunar Orbit,3900,100,Active,1500
SAT-002,Mangalyaan,2013-11-05,Heliocentric,1337,500,Completed,800
SAT-003,INSAT-3DR,2016-09-08,GEO,2211,35786,Active,2000
SAT-004,GSAT-11,2018-12-05,GEO,5854,35786,Active,3200
SAT-005,Cartosat-3,2019-11-27,LEO,1625,509,Active,1200
SAT-006,NavIC-IRNSS-1A,2013-07-01,GEO,1425,35786,Inactive,900
SAT-007,NavIC-IRNSS-1B,2014-04-04,GEO,1432,35786,Active,950
SAT-008,Astrosat,2015-09-28,LEO,1515,650,Active,1800
SAT-009,Resourcesat-2A,2016-12-07,LEO,1235,817,Active,1100
SAT-010,Oceansat-2,2009-09-23,LEO,970,720,Completed,700
SAT-011,EOS-01,2020-11-07,LEO,454,575,Active,600
SAT-012,EOS-04,2022-02-14,LEO,1710,529,Active,1300
SAT-013,Aditya-L1,2023-09-02,Heliocentric,1480,1500000,Enroute,1600
SAT-014,GSAT-7A,2018-12-19,GEO,2250,35786,Active,2100
SAT-015,GSAT-6A,2018-03-29,GEO,2140,35786,Lost Contact,1900
SAT-016,Cartosat-2F,2018-01-12,LEO,710,505,Active,850
SAT-017,Cartosat-2E,2017-06-23,LEO,712,506,Active,860
SAT-018,Scatsat-1,2016-09-26,LEO,371,720,Active,500
SAT-019,Kalpana-1,2002-09-12,GEO,1060,35786,Completed,750
SAT-020,INSAT-4A,2005-12-22,GEO,3081,35786,Completed,1800
SAT-021,INSAT-4B,2007-03-12,GEO,3025,35786,Completed,1750
SAT-022,GSAT-10,2012-09-29,GEO,3400,35786,Active,2200
SAT-023,GSAT-12,2011-07-15,GEO,1410,35786,Active,1000
SAT-024,GSAT-18,2016-10-05,GEO,3404,35786,Active,2300
SAT-025,GSAT-29,2018-11-14,GEO,3423,35786,Active,2400
SAT-026,GSAT-30,2020-01-17,GEO,3357,35786,Active,2350
SAT-027,EOS-06,2022-11-26,LEO,1117,747,Active,900
SAT-028,TeLEOS-2,2023-04-22,LEO,741,550,Active,780
SAT-029,SPADEX-A,2024-01-10,LEO,450,400,Testing,650
SAT-030,SPADEX-B,2024-01-10,LEO,450,400,Testing,650
